Course Name,Course Code,Modality,Standard Course Hours,Developer,Target Start Date,Actual Start Date,Target Finish Date,Actual Finish Date,Phase,Risk Status,Course Status Notes,Product,Value Stream
Template for ILT/VILT Courses,868c6ufk0,WBT,0.5,ISG,1/16/25,1/31/25,3/28/25,2/21/25,Complete,On Track,Development Complete,SAP S/4 HANA,ALL
ALL AREAS SAP S/4HANA: Essentials & Navigation,868awzyaw,WBT,0.5,ISG,7/28/25,11/1/24,8/22/25,,Alpha Development,On Track,,SAP S/4 HANA,ALL
DAP Support Navigation Course,868c6m9h9,WBT,0.5,ISG,7/28/25,,8/22/25,,Not Started,On Track,,SAP S/4 HANA,ALL
Asset Accounting: Asset Reinstatement,868c0428w,WBT,0.5,ISG,1/15/25,2/26/25,3/28/25,4/8/25,Final Approval,Behind Schedule,Complete pending update of Change Impacts,SAP S/4 HANA,A2R
Asset Accounting: Asset Sales,868c03rxt,WBT,0.5,ISG,1/15/25,2/26/25,3/28/25,4/8/25,Final Approval,Behind Schedule,Complete pending update of Change Impacts,SAP S/4 HANA,A2R
Asset Accounting: Capitalizing Assets,868c033tx,WBT,0.5,ISG,1/15/25,2/19/25,3/28/25,4/3/25,Final Approval,Behind Schedule,Complete pending update of Change Impacts,SAP S/4 HANA,A2R
Asset Accounting: Change or Renew Contract,868c03yda,WBT,0.5,ISG,5/5/25,2/14/25,5/30/25,,Design,Behind Schedule,Curriculum redesign,SAP S/4 HANA,A2R
Asset Accounting: Commissioning Assets,868cktqar,WBT,0.5,ISG,1/15/25,2/13/25,3/28/25,3/20/25,Final Approval,On Track,Complete pending update of Change Impacts,SAP S/4 HANA,A2R
Asset Accounting: Depreciation Adjustments,868c03882,WBT,0.5,ISG,1/15/25,2/22/25,3/28/25,4/8/25,Final Approval,Behind Schedule,Complete pending update of Change Impacts,SAP S/4 HANA,A2R
Asset Accounting: Depreciation/Amortization Job Run & Review,868c043t3,WBT,0.5,ISG,1/15/25,2/19/25,3/28/25,3/26/25,Final Approval,On Track,Complete pending update of Change Impacts,SAP S/4 HANA,A2R
Asset Accounting: Inter-Company Asset Transfer,868c053xr,WBT,0.5,ISG,1/15/25,2/26/25,3/28/25,4/3/25,Final Approval,Behind Schedule,Complete pending update of Change Impacts,SAP S/4 HANA,A2R
Asset Accounting: Intra-Company Asset Transfer,868c03qur,WBT,0.5,ISG,1/15/25,2/26/25,3/28/25,4/3/25,Final Approval,Behind Schedule,Complete pending update of Change Impacts,SAP S/4 HANA,A2R
Asset Accounting: Maintain Master Data in Lease Accounting Module,868c0fyq2,WBT,0.5,ISG,5/5/25,2/26/25,5/30/25,,Design,Behind Schedule,Curriculum redesign,SAP S/4 HANA,A2R
Asset Accounting: New Lease Contract Payment Schedule,868c07676,WBT,0.5,ISG,5/5/25,,5/30/25,,Design,Behind Schedule,Curriculum redesign,SAP S/4 HANA,A2R
Asset Accounting: New Lease Contract Valuation (Post Run),868c0ft3w,WBT,0.5,ISG,5/5/25,,5/30/25,,Design,Behind Schedule,Curriculum redesign,SAP S/4 HANA,A2R
Asset Accounting: New Lease Contract Valuation (Test Run),868c0fwep,WBT,0.5,ISG,5/5/25,,5/30/25,,Design,Behind Schedule,Curriculum redesign,SAP S/4 HANA,A2R
Asset Accounting: Retire Assets,868c03z42,WBT,0.5,ISG,1/15/25,2/27/25,3/28/25,3/31/25,Final Approval,Behind Schedule,Complete pending update of Change Impacts,SAP S/4 HANA,A2R
Asset Accounting: Run Payment Posting Job,868c054zk,WBT,0.5,ISG,5/5/25,,5/30/25,,Design,Behind Schedule,Curriculum redesign,SAP S/4 HANA,A2R
Asset Accounting: Software Licenses Ad Hoc Reporting,868c052wj,WBT,0.5,ISG,5/5/25,,5/30/25,,Design,Behind Schedule,Curriculum redesign,SAP S/4 HANA,A2R
Asset Accounting: Software Licenses Maintain,868c03znu,WBT,0.5,ISG,5/5/25,2/13/25,5/30/25,,Design,Behind Schedule,Curriculum redesign,SAP S/4 HANA,A2R
"Asset Management: Approve, Edit, or Reject a Loss Report",868c0ey9j,WBT,0.5,ISG,5/12/25,,6/6/25,,Not Started,Behind Schedule,Backlog from other delayed courses,SAP S/4 HANA,A2R
Asset Management: Asset Acquisition SAP and PIEE Interface,868c0g1dr,WBT,0.5,ISG,5/12/25,1/28/25,6/6/25,,Alpha Development,Behind Schedule,Backlog from other delayed courses,SAP S/4 HANA,A2R
Asset Management: Asset Transfer Records,868decc09,WBT,0.5,ISG,4/28/25,4/18/25,5/23/25,5/27/25,Final Approval,On Track,Complete pending update of Change Impacts,SAP S/4 HANA,A2R
Asset Management: Change Equipment,868c07d42,WBT,0.5,ISG,4/28/25,4/15/25,5/23/25,5/15/25,Final Approval,On Track,Complete pending update of Change Impacts,SAP S/4 HANA,A2R
Asset Management: Create Equipment,868c05dh1,WBT,0.5,ISG,4/28/25,4/17/25,5/23/25,5/15/25,Final Approval,On Track,Complete pending update of Change Impacts,SAP S/4 HANA,A2R
Asset Management: Creating a Custodian Transfer,868c0euff,WBT,0.5,ISG,5/12/25,,6/6/25,,Not Started,Behind Schedule,Backlog from other delayed courses,SAP S/4 HANA,A2R
Asset Management: Display Equipment,868c0egxp,WBT,0.5,ISG,4/28/25,4/18/25,5/23/25,5/15/25,Final Approval,On Track,Complete pending update of Change Impacts,SAP S/4 HANA,A2R
Asset Management: Disposition an Asset Prepare a Loss Report,868c0f042,WBT,0.5,ISG,5/12/25,,6/6/25,,Not Started,Behind Schedule,Backlog from other delayed courses,SAP S/4 HANA,A2R
Asset Management: Disposition Equipment Self-Service,868c0ex67,WBT,0.5,ISG,5/12/25,,6/6/25,,Not Started,Behind Schedule,Backlog from other delayed courses,SAP S/4 HANA,A2R
Asset Management: Equipment Disposition Final User Statuses,868c0f20b,WBT,0.5,ISG,5/12/25,,6/6/25,,Not Started,Behind Schedule,Backlog from other delayed courses,SAP S/4 HANA,A2R
Asset Management: Equipment Disposition Notifications,868c0f369,WBT,0.5,ISG,5/12/25,,6/6/25,,Not Started,Behind Schedule,Backlog from other delayed courses,SAP S/4 HANA,A2R
Asset Management: Equipment Disposition Post-Disposition,868c0f0v9,WBT,0.5,ISG,5/12/25,,6/6/25,,Not Started,Behind Schedule,Backlog from other delayed courses,SAP S/4 HANA,A2R
Asset Management: Equipment Disposition Records and Requirements,868c0f41w,WBT,0.5,ISG,5/12/25,,6/6/25,,Not Started,Behind Schedule,Backlog from other delayed courses,SAP S/4 HANA,A2R
Asset Management: Inventory Counts,868c0ejxa,WBT,0.5,ISG,5/12/25,,6/6/25,,Not Started,Behind Schedule,Backlog from other delayed courses,SAP S/4 HANA,A2R
Asset Management: Monitor Periodic and One-Time Activities,868c0emb4,WBT,0.5,ISG,5/12/25,,6/6/25,,Not Started,Behind Schedule,Backlog from other delayed courses,SAP S/4 HANA,A2R
Asset Management: Preparing for an Equipment Transfer,868c0ewgt,WBT,0.5,ISG,5/12/25,,6/6/25,,Not Started,Behind Schedule,Backlog from other delayed courses,SAP S/4 HANA,A2R
Asset Management: Print Property Tags,868c394z2,WBT,0.5,ISG,1/15/25,3/6/25,3/28/25,4/15/25,Final Approval,Behind Schedule,Complete pending update of Change Impacts,SAP S/4 HANA,A2R
Asset Management: Review a Custodian Transfer,868c0enzz,WBT,0.5,ISG,5/12/25,,6/6/25,,Not Started,Behind Schedule,Backlog from other delayed courses,SAP S/4 HANA,A2R
Asset Management: Review a Loss Report,868c0eza6,WBT,0.5,ISG,5/12/25,,6/6/25,,Not Started,Behind Schedule,Backlog from other delayed courses,SAP S/4 HANA,A2R
CLRP Capital and Overhead: Overview and System Navigation,868a2vbxu,WBT,0.5,ISG,5/12/25,,6/6/25,,Design,Behind Schedule,Curriculum redesign,SAP S/4 HANA,A2R
CLRP Capital:  Change Requests,868c0tzq4,WBT,0.5,ISG,5/12/25,,6/6/25,,Design,Behind Schedule,Curriculum redesign,SAP S/4 HANA,A2R
CLRP Capital: Approval Workflow,868c0uctc,WBT,0.5,ISG,5/12/25,,6/6/25,,Design,Behind Schedule,Curriculum redesign,SAP S/4 HANA,A2R
CLRP Capital: Capital Project Closeout,868c0tu34,WBT,0.5,ISG,5/12/25,,6/6/25,,Design,Behind Schedule,Curriculum redesign,SAP S/4 HANA,A2R
CLRP Capital: Change Request Workflow,868c0tybt,WBT,0.5,ISG,5/12/25,,6/6/25,,Design,Behind Schedule,Curriculum redesign,SAP S/4 HANA,A2R
