Course Name,Course Code,Modality,Standard Course Hours,Developer,Target Start Date,Actual Start Date,Target Finish Date,Actual Finish Date,Phase,Risk Status,Course Status Notes,Product,Value Stream
"Accounts Payable: Process Down Payments on Financed POs, Pt. 1",868c1yq6p,WBT,0.5,ISG,5/5/25,5/12/25,5/30/25,,Alpha Review,Behind Schedule,Curriculum redesign,SAP S/4 HANA,PTP
"Accounts Payable: Process Down Payments on Financed POs, Pt. 2",868c1yrjp,WBT,0.5,ISG,5/5/25,5/13/25,5/30/25,,Alpha Review,Behind Schedule,Curriculum redesign,SAP S/4 HANA,PTP
Accounts Payable: Process Escheatment Payments,868a37bwj,WBT,0.5,ISG,6/16/25,,7/11/25,,Not Started,On Track,,SAP S/4 HANA,PTP
Accounts Payable: Process Exceptions,868a37aw4,WBT,0.5,ISG,6/23/25,,7/18/25,,Not Started,On Track,,SAP S/4 HANA,PTP
"Accounts Payable: Process Hedge Payments, Pt. 1",868a372yd,WBT,0.5,ISG,7/7/25,,8/1/25,,Not Started,On Track,,SAP S/4 HANA,PTP
"Accounts Payable: Process Hedge Payments, Pt. 2",868a37378,WBT,0.5,ISG,7/7/25,,8/1/25,,Not Started,On Track,,SAP S/4 HANA,PTP
"Accounts Payable: Process Invoices & Credit, Pt. 1",868a2v9nq,WBT,0.5,ISG,5/19/25,,6/13/25,,Not Started,Behind Schedule,Curriculum redesign,SAP S/4 HANA,PTP
"Accounts Payable: Process Invoices & Credit, Pt. 2",868c1wncb,WBT,0.5,ISG,5/19/25,,6/13/25,,Not Started,Behind Schedule,Curriculum redesign,OpenText Content Server (xECM); SAP S/4 HANA,PTP
Accounts Payable: Process Payments,868a2v7v1,WBT,0.5,ISG,6/23/25,,7/18/25,,Not Started,On Track,,SAP S/4 HANA,PTP
Accounts Payable: Process Supplier Refunds (Create & Clear Supplier Refunds),868a37d3x,WBT,0.5,ISG,7/7/25,,8/1/25,,Not Started,On Track,,SAP S/4 HANA,PTP
Accounts Payable: Process Supplier Refunds (Create Credit Memo with SALT),868a37dfy,WBT,0.5,ISG,6/23/25,,7/18/25,,Not Started,On Track,,SAP S/4 HANA,PTP
Accounts Payable: Processing Down Payments on Financed POs for Buyers,868c1yy91,WBT,0.5,ISG,5/5/25,6/1/25,5/30/25,,Alpha Development,Behind Schedule,Curriculum redesign,SAP S/4 HANA,PTP
Accounts Payable: Review & Block Automatic Payments,868a3748x,WBT,0.5,ISG,7/7/25,,8/1/25,,Not Started,On Track,,SAP S/4 HANA,PTP
Accounts Payable: Review Supplier Refunds (Clear Tax Correction & Credit Memo),868a37f89,Video,0.1,ISG,7/7/25,,8/1/25,,Not Started,On Track,,SAP S/4 HANA,PTP
"Accounts Payable: Review Supplier Refunds, Pt. 1",868c1xxud,WBT,0.5,ISG,7/7/25,,8/1/25,,Not Started,On Track,,SAP S/4 HANA,PTP
"Accounts Payable: Review Supplier Refunds, Pt. 2",868c1y08n,WBT,0.5,ISG,7/7/25,,8/1/25,,Not Started,On Track,,SAP S/4 HANA,PTP
"Accounts Payable: Run A/P Audit, Pt. 1",868c1wy6n,WBT,0.5,ISG,5/19/25,5/28/25,6/13/25,,Alpha Development,Behind Schedule,Curriculum redesign,SAP S/4 HANA;OpenText Vendor Invoice Management,PTP
"Accounts Payable: Run A/P Audit, Pt. 2",868c1wydk,WBT,0.5,ISG,5/19/25,5/31/25,6/13/25,,Alpha Development,Behind Schedule,Curriculum redesign,SAP S/4 HANA;OpenText Vendor Invoice Management,PTP
Accounts Payable: Run Ad hoc Payments,868c1xftu,WBT,0.5,ISG,7/7/25,,8/1/25,,Not Started,On Track,,SAP S/4 HANA,PTP
Accounts Payable: Setup of Supplier Financed Pos,868c1ykkw,WBT,0.5,ISG,5/5/25,4/7/25,5/30/25,,Beta Development,Behind Schedule,Curriculum redesign,SAP S/4 HANA,PTP
Accounts Payable: Small Business Acceleration,868c1x051,WBT,0.5,ISG,5/19/25,6/2/25,6/13/25,,Alpha Development,Behind Schedule,Curriculum redesign,SAP S/4 HANA;OpenText Vendor Invoice Management,PTP
Accounts Payable: Submit Debit/Credit Request to A/P,868a2va5u,WBT,0.5,ISG,5/26/25,,6/20/25,,Not Started,Behind Schedule,Curriculum redesign,SAP S/4 HANA;OpenText Vendor Invoice Management,PTP
"Accounts Payable: Submit/Approve Expedited Payment Requests, Pt. 1",868a3719f,Video,0.1,ISG,7/7/25,,8/1/25,,Not Started,On Track,,SAP S/4 HANA,PTP
"Accounts Payable: Submit/Approve Expedited Payment Requests, Pt. 2",868a37228,WBT,0.5,ISG,7/7/25,,8/1/25,,Not Started,On Track,,SAP S/4 HANA,PTP
"Accounts Payable: Submit/Approve Expedited Payment Requests, Pt. 3",868c1xvfw,WBT,0.5,ISG,7/7/25,,8/1/25,,Not Started,On Track,,SAP S/4 HANA,PTP
Accounts Payable: Verify Credit Memo,868a2v5gf,WBT,0.5,ISG,5/26/25,,6/20/25,,Not Started,Behind Schedule,Curriculum redesign,SAP S/4 HANA;OpenText Vendor Invoice Management,PTP
